Name,Branch,Field of Interest,Domain of Interest,Languages Known,Frameworks Used,Tools Experience,Technologies to Learn,Project Duration,Open-Source Contribution,Achievements
Aaron Patel,Civil Engineering,"['computational theory', 'bioinformatics']",['game development'],['Go'],"['Ruby on Rails', 'Nuxt.js', 'Spring Boot']",['Git'],"['PostgreSQL', 'PyTorch']",1 week,Contributed to XYZ project,No achievements
Emily Avery,Mechanical Engineering,['embedded systems'],"['artificial intelligence and machine learning', 'cybersecurity']","['MATLAB', 'R']","['Next.js', 'Ruby on Rails', 'React Native']",['Elasticsearch'],"['PyTorch', 'Git']",2 months,No open-source contribution,No achievements
Melvin Steele,Electrical Engineering,"['deep learning', 'computer architecture', 'IoT']",['artificial intelligence and machine learning'],"['Ruby', 'Lua', 'Python', 'C#', 'Kotlin']","['Next.js', 'React Native']",['Google Cloud'],"['TensorFlow', 'MongoDB']",1 month,No open-source contribution,No achievements
Christina Johnson,Mechanical Engineering,"['edge computing', 'natural language processing']",['web and mobile development'],"['Kotlin', 'Swift', 'Go', 'Objective-C']","['Flask', 'NestJS', 'Ruby on Rails']","['PostgreSQL', 'Docker']",['PostgreSQL'],1 week,No open-source contribution,No achievements
Jamie King,Computer Science,"['digital signal processing', 'blockchain']","['IoT', 'artificial intelligence and machine learning', 'web and mobile development']","['TypeScript', 'C#', 'Lua']","['React', 'Ionic', 'React Native']","['PostgreSQL', 'Elasticsearch']","['PyTorch', 'Kubernetes', 'TensorFlow', 'Git']",1 week,No open-source contribution,Awarded XYZ in Computer Science
Lauren Taylor,Computer Science,"['web app development', 'game development']","['IoT', 'data science and analytics', 'quantum computing']","['Go', 'Swift']","['Meteor', 'Express.js']","['Kubernetes', 'MongoDB']","['MongoDB', 'TensorFlow']",1 month,Contributed to XYZ project,No achievements
Courtney Alexander,Mechanical Engineering,"['data science', 'computational biology', 'parallel computing']","['web and mobile development', 'robotics']","['SQL', 'JavaScript', 'Swift']","['Angular', 'Svelte']",['PostgreSQL'],['GitHub'],1 month,No open-source contribution,No achievements
Michael Thompson,Biotechnology,['bioinformatics'],['bioinformatics'],"['TypeScript', 'Shell Scripting', 'Java']","['React Native', 'Svelte', 'NestJS']","['Elasticsearch', 'Google Cloud']",['PostgreSQL'],2 months,Contributed to XYZ project,No achievements
Thomas Smith,Mechanical Engineering,"['human-computer interaction', 'parallel computing', 'network engineering']","['human-computer interaction', 'bioinformatics']","['Rust', 'C#', 'C']","['Ember.js', 'Spring Boot', 'Django', 'Svelte']",['Ansible'],"['Ansible', 'Google Cloud', 'Keras']",1 month,No open-source contribution,No achievements
Nicholas Duncan,Mechanical Engineering,['computational theory'],"['game development', 'IoT']",['TypeScript'],"['Laravel', 'Meteor']","['TensorFlow', 'Jenkins', 'GitLab']","['Google Cloud', 'Elasticsearch']",1 month,No open-source contribution,No achievements
